decile,loans,predicted,observed
0,24286,0.040519967102275144,0.042864201597628264
1,24286,0.07561976162241459,0.08226962035740756
2,24285,0.10643250789026425,0.1204035412806259
3,24286,0.13524437490683996,0.1521040928930248
4,24285,0.163903501388435,0.1867407864937204
5,24286,0.1930115064747518,0.2207856378160257
6,24285,0.22489960230448708,0.2620135886349598
7,24286,0.2632831596057976,0.2991847154739356
8,24285,0.3176435097638131,0.3499691167387276
9,24286,0.43967563416980177,0.4415300996458865
